ID_ENTIDAD,NOMBRE_ENTIDAD,CANTIDAD_DEUDORES,MONTO_TOTAL,MONTO_PREVISIONES,MONTO_SIT_1,MONTO_SIT_2,MONTO_SIT_3,MONTO_SIT_4,MONTO_SIT_5,MONTO_SIT_11
51011,FONDO DE GARANTIA CFI,1,286780.0,0.0,0.0,0.0,0.0,286780.0,0.0,0.0
51012,"Fondo específico de riesgo fiduciario de la ""Provincia de Santa Fe""",11,39863.0,0.0,3642.0,961.0,1632.0,0.0,33628.0,0.0
51014,Fondo de Garantía Catamarca Sociedad Anónima con Participación Estatal,9,19215.0,0.0,387.0,12708.0,6120.0,0.0,0.0,0.0
55001,Accicom S.A.,6809,1716707.0,0.0,807646.0,171705.0,168195.0,331502.0,237659.0,0.0
55002,AMEPORT Mutual del Personal del Estado Nacional Provincial Municipal y,13239,15100803.0,0.0,11704738.0,1058609.0,1166760.0,848067.0,322629.0,0.0
55003,Asociación Mutual Centro Litoral,772,492010.0,0.0,234618.0,44205.0,9158.0,145105.0,58924.0,0.0
55004,Asociación Mutual de la Economía Solidaria,2269,4698944.0,0.0,3510279.0,133161.0,185215.0,431566.0,438723.0,0.0
55005,Asociación Mutual de las Fuerzas Armadas y Seguridad (AMFAYS),11391,12627384.0,0.0,9843573.0,337945.0,422927.0,931441.0,1091498.0,0.0
55006,Asociación Mutual del Litoral 17 de Enero,1959,4493770.0,0.0,3538774.0,428394.0,295255.0,161111.0,70236.0,0.0
55008,Asociación Mutual Unión Solidaria,24708,20438784.0,0.0,13498290.0,1055491.0,1577672.0,2976414.0,1330917.0,0.0
55009,Carsa S.A.,65899,26492672.0,0.0,13471725.0,1961130.0,2325084.0,3707572.0,5027161.0,0.0
55011,Cetrogar S.A.,157367,108909554.0,0.0,47274836.0,7852887.0,10301985.0,24775090.0,18704756.0,0.0
55012,CFN SRL,360912,443127868.0,0.0,184824449.0,39477523.0,56163888.0,105412867.0,57249141.0,0.0
55013,Cierto Argentina S.A.,16333,15166073.0,0.0,10267884.0,935151.0,1138594.0,1389772.0,1434672.0,0.0
55015,Coppel S.A.,37603,50510337.0,0.0,9682445.0,1541585.0,6868829.0,22947353.0,9470125.0,0.0
55017,"Cooperativa de Crédito, Consumo y Servicios Sociales La Plata Ltda.",32236,22457470.0,0.0,18127378.0,1155911.0,1402824.0,1349300.0,422057.0,0.0
55018,Cooperativa de Provisión de Obras y Servicios Publicos y de Créditos C,1850,1218333.0,0.0,908167.0,97829.0,91708.0,95285.0,25344.0,0.0
55020,"Palmares Cooperativa de Vivienda, Crédito, Consumo y Servicios Sociale",8472,9912671.0,0.0,8720465.0,325954.0,264544.0,253098.0,348610.0,0.0
55023,Credifácil S.A.F. y M.,37640,9949109.0,0.0,2785046.0,773410.0,1350244.0,2145669.0,2894740.0,0.0
55024,CREDICUOTAS CONSUMO S.A.,313679,414244031.0,0.0,246650874.0,19487771.0,43607946.0,74025827.0,30471613.0,0.0
55025,Cuotitas S.A.,18820,20654679.0,0.0,8438576.0,2735140.0,3267831.0,3506841.0,2706291.0,0.0
55026,Decréditos S.A.,552,2548178.0,0.0,1570194.0,304662.0,192118.0,210867.0,270337.0,0.0
55027,ELECTRONICA MEGATONE SRL,358415,302771638.0,0.0,139290062.0,23774394.0,38295881.0,58694499.0,42716802.0,0.0
55028,Favanet S.A.,35476,34244642.0,0.0,18734967.0,3522048.0,3646981.0,5137033.0,3203613.0,0.0
55030,Fravega S.A.C.I. e I.,121293,116147914.0,0.0,55394399.0,11155389.0,15066805.0,23083499.0,11447822.0,0.0
55034,Hogar Total S.A.,18618,11810047.0,0.0,10135722.0,17605.0,532038.0,618188.0,506494.0,0.0
55040,N&F Capital Markets S.A.,44,10479.0,0.0,7303.0,342.0,133.0,0.0,2701.0,0.0
55041,Naldo Lombardi S.A.,279026,260536197.0,0.0,173942826.0,18302662.0,18314199.0,27682256.0,22294254.0,0.0
55042,"Plural Cooperativa de Crédito, Consumo y Vivienda Ltda.",1156,272214.0,0.0,271037.0,439.0,335.0,89.0,314.0,0.0
55043,Provincia Leasing S.A.,288,72341476.0,0.0,70661796.0,1101917.0,171130.0,405085.0,1548.0,0.0
55046,Schejter y Schejter S.A.,78,41522.0,0.0,41522.0,0.0,0.0,0.0,0.0,0.0
55048,Sicom S.A.,2264,7030740.0,0.0,6968524.0,13067.0,30990.0,4257.0,13902.0,0.0
